hsk_id,category,name,level,volume,lesson,note
hsk30-g1-019,词类,副词,1,,,已核·教材未覆盖·走通用库兜底（还=教程2·5/7，跨册候选；也无注释）
hsk30-g1-020,词类,副词,1,,,已核·教材未覆盖·走通用库兜底（不/没课文贯穿；不要=教程2·10，跨册候选）
hsk30-g1-021,词类,介词,1,标准教程1,9,已核·注释直接命中（介词在=L9）
hsk30-g1-022,词类,介词,1,标准教程1,10,已核·注释直接命中（和=L10；对=教程2·10，本级未覆盖）
hsk30-g1-023,词类,连词,1,标准教程1,10,已核·注释直接命中（连词和=L10）
hsk30-g1-024,词类,助词,1,标准教程1,4,已核·维持预填（的=L4，预填正确）
hsk30-g1-025,词类,助词,1,标准教程1,14,已核·注释直接命中（了表发生/完成=L14）
hsk30-g1-026,词类,助词,1,标准教程1,3,已核·注释直接命中（吗=L3；呢(1)=L4、呢(2)=L9、吧=L13、啊=L14、了2=L5）
hsk30-g1-027,词类,叹词,1,标准教程1,13,已核·维持预填（叹词喂=L13，占位值碰巧正确）
hsk30-g1-028,短语,结构类型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-029,短语,结构类型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-030,短语,结构类型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-031,短语,结构类型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-032,短语,结构类型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-033,短语,结构类型,1,标准教程1,9,已核·邻近归属（归介词教学点 L9）
hsk30-g1-034,短语,结构类型,1,标准教程1,11,已核·邻近归属（归方位词教学点：前=L11）
hsk30-g1-035,句子成分,主语,1,,,已核·教材未覆盖·走通用库兜底（句子成分无注释定位）
hsk30-g1-036,句子成分,谓语,1,标准教程1,7,已核·注释直接命中（名词谓语句=L7）
hsk30-g1-037,句子成分,谓语,1,标准教程1,6,已核·邻近归属（形容词谓语句=L6；动词谓语句无专注）
hsk30-g1-038,句子成分,宾语,1,,,已核·教材未覆盖·走通用库兜底（句子成分无注释定位）
hsk30-g1-039,句子成分,定语,1,,,已核·教材未覆盖·走通用库兜底（句子成分无注释定位）
hsk30-g1-040,句子成分,状语,1,标准教程1,11,已核·注释直接命中（时间词作状语=L11）
hsk30-g1-041,句子成分,补语,1,,,已核·教材未覆盖·走通用库兜底（动量补语：次=教程2·14，跨册候选）
hsk30-g1-042,句子的类型,句型,1,,,已核·教材未覆盖·走通用库兜底（动词谓语句课文贯穿，无专注）
hsk30-g1-043,句子的类型,句型,1,标准教程1,6,已核·注释直接命中（形容词谓语句=L6）
hsk30-g1-044,句子的类型,句型,1,标准教程1,7,已核·注释直接命中（名词谓语句=L7）
hsk30-g1-045,句子的类型,句型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-046,句子的类型,句类,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-047,句子的类型,句类,1,标准教程1,3,已核·注释直接命中（吗问句=L3）
hsk30-g1-048,句子的类型,句类,1,标准教程1,3,已核·注释直接命中（特指问分散各课，最早教学点 L3；分布见 g1-008）
hsk30-g1-049,句子的类型,句类,1,,,已核·教材未覆盖·走通用库兜底（是不是问句=教程2·2，跨册候选）
hsk30-g1-050,句子的类型,句类,1,标准教程1,10,已核·注释直接命中（用请的祈使句=L10）
hsk30-g1-051,句子的类型,句类,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-052,句子的类型,特殊句型,1,标准教程1,3,已核·注释直接命中（是字句=L3）
hsk30-g1-053,句子的类型,特殊句型,1,标准教程1,10,已核·注释直接命中（有字句=L10，教材注释为存在义，领有义同课）
hsk30-g1-054,句子的类型,特殊句型,1,标准教程1,10,已核·邻近归属（归有字句教学点 L10）
hsk30-g1-055,句子的类型,特殊句型,1,标准教程1,10,已核·邻近归属（归有字句教学点 L10）
hsk30-g1-056,句子的类型,特殊句型,1,标准教程1,7,已核·注释直接命中（连动句(1)=L7）
hsk30-g1-057,句子的类型,特殊句型,1,标准教程1,7,已核·邻近归属（归连动句教学点 L7）
hsk30-g1-058,句子的类型,特殊句型,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-059,句子的类型,复句,1,,,已核·教材未覆盖·走通用库兜底（教程1 注释无复句项目）
hsk30-g1-060,句子的类型,复句,1,,,已核·教材未覆盖·走通用库兜底（教程1 注释无复句项目）
hsk30-g1-061,句子的类型,复句,1,,,已核·教材未覆盖·走通用库兜底（还=教程2·5/7，跨册候选）
hsk30-g1-062,动作的态,,1,标准教程1,14,已核·注释直接命中（了1 表完成=L14）
hsk30-g1-063,动作的态,,1,标准教程1,5,已核·注释直接命中（了2 表变化=L5）
hsk30-g1-064,动作的态,,1,标准教程1,13,已核·注释直接命中（在……呢=L13）
hsk30-g1-065,动作的态,,1,标准教程1,13,已核·注释直接命中（在……呢=L13）
hsk30-g1-066,动作的态,,1,标准教程1,13,已核·邻近归属（归进行态教学点 L13）
hsk30-g1-067,特殊表达法,数的表达法,1,标准教程1,8,已核·注释直接命中（钱数表达=L8）
hsk30-g1-068,特殊表达法,数的表达法,1,,,已核·教材未覆盖·走通用库兜底（第=教程2·9，跨册候选）
hsk30-g1-069,特殊表达法,时间表示法,1,标准教程1,7,已核·注释直接命中（日期表达=L7）
hsk30-g1-070,特殊表达法,时间表示法,1,标准教程1,11,已核·注释直接命中（时间表达=L11）
hsk30-g2-001,语素,后缀,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-002,词类,名词,2,,,已核·教材未覆盖·走通用库兜底（右边=L11 词汇，无语法注释）
hsk30-g2-003,词类,动词,2,标准教程2,8,已核·注释直接命中（动词重叠=L8）
hsk30-g2-004,词类,动词,2,标准教程2,11,已核·注释直接命中（助动词可能=L11）
hsk30-g2-005,词类,动词,2,,,已核·教材未覆盖·走通用库兜底（教程4上·7 离合词重叠，跨册候选）
hsk30-g2-006,词类,代词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-007,词类,代词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-008,词类,代词,2,标准教程2,2,已核·注释直接命中（每=L2；这么/那么无注释）
hsk30-g2-009,词类,形容词,2,,,已核·教材未覆盖·走通用库兜底（形容词重叠=教程3·16，跨册候选）
hsk30-g2-010,词类,数词,2,标准教程2,1,已核·注释直接命中（概数表达：多=L1）
hsk30-g2-011,词类,量词,2,,,已核·教材未覆盖·走通用库兜底（词汇级，无注释定位）
hsk30-g2-012,词类,量词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-013,词类,量词,2,标准教程2,14,已核·注释直接命中（动量补语次=L14）
hsk30-g2-014,词类,副词,2,标准教程2,1,已核·注释直接命中（程度副词最=L1）
hsk30-g2-015,词类,副词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-016,词类,副词,2,标准教程2,4,已核·注释直接命中（已经=L4；还(2)=L7、快要=L15）
hsk30-g2-017,词类,副词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-018,词类,副词,2,标准教程2,10,已核·注释直接命中（别……了祈使句=L10）
hsk30-g2-019,词类,副词,2,标准教程2,8,已核·维持预填（再=L8，预填正确；就=L5/L7）
hsk30-g2-020,词类,副词,2,,,已核·教材未覆盖·走通用库兜底（还是=教程3·3，跨册候选）
hsk30-g2-021,词类,介词,2,标准教程2,9,已核·注释直接命中（介词从=L9）
hsk30-g2-022,词类,介词,2,标准教程2,13,已核·注释直接命中（介词往=L13）
hsk30-g2-023,词类,介词,2,标准教程2,9,已核·注释直接命中（介词从=L9）
hsk30-g2-024,词类,介词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-025,词类,介词,2,标准教程2,11,已核·注释直接命中（比字句=L11）
hsk30-g2-026,词类,介词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-027,词类,介词,2,标准教程2,6,已核·注释直接命中（因为……所以=L6）
hsk30-g2-028,词类,连词,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-029,词类,连词,2,标准教程2,6,已核·注释直接命中（因为……所以=L6；虽然……但是=L14、那=教程3·1）
hsk30-g2-030,词类,助词,2,标准教程2,12,已核·注释直接命中（状态补语得=L12；地无注释）
hsk30-g2-031,词类,助词,2,标准教程2,14,已核·注释直接命中（动态助词过=L14）
hsk30-g2-032,词类,助词,2,标准教程2,13,已核·注释直接命中（动态助词着=L13）
hsk30-g2-033,词类,助词,2,标准教程2,7,已核·注释直接命中（呢=L7；吧/啊本级无注释）
hsk30-g2-034,短语,结构类型,2,标准教程2,9,已核·邻近归属（归结果补语教学点 L9）
hsk30-g2-035,短语,结构类型,2,标准教程2,3,已核·注释直接命中（的字短语=L3）
hsk30-g2-036,短语,结构类型,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-037,短语,结构类型,2,标准教程2,8,已核·注释直接命中（兼语句=L8）
hsk30-g2-038,短语,功能类型,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-039,短语,功能类型,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-040,短语,功能类型,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-041,短语,固定短语,2,,,已核·教材未覆盖·走通用库兜底（什么的=教程4下·14，跨册候选）
hsk30-g2-042,固定格式,,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-043,固定格式,,2,标准教程2,15,已核·注释直接命中（要……了=L15）
hsk30-g2-044,固定格式,,2,标准教程2,15,已核·注释直接命中（都……了=L15）
hsk30-g2-045,句子成分,主语,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-046,句子成分,谓语,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-047,句子成分,定语,2,标准教程2,11,已核·注释直接命中（动词结构作定语=L11）
hsk30-g2-048,句子成分,补语,2,标准教程2,9,已核·注释直接命中（结果补语=L9）
hsk30-g2-049,句子成分,补语,2,,,已核·教材未覆盖·走通用库兜底（简单趋向补语=教程3·2，跨册候选）
hsk30-g2-050,句子成分,补语,2,,,已核·教材未覆盖·走通用库兜底（教程3·2，跨册候选）
hsk30-g2-051,句子成分,补语,2,,,已核·教材未覆盖·走通用库兜底（复合趋向补语=教程3·13，跨册候选）
hsk30-g2-052,句子成分,补语,2,标准教程2,12,已核·注释直接命中（状态补语=L12）
hsk30-g2-053,句子成分,补语,2,,,已核·教材未覆盖·走通用库兜底（时段表达=教程3·7，跨册候选）
hsk30-g2-054,句子成分,补语,2,标准教程2,11,已核·邻近归属（形+数量补语见 L11 课文：比我大三岁；无专注）
hsk30-g2-055,句子的类型,句型,2,,,已核·教材未覆盖·走通用库兜底（主谓谓语句=教程1·12，本级无注释）
hsk30-g2-056,句子的类型,句类,2,,,已核·教材未覆盖·走通用库兜底（还是/或者=教程3·3，跨册候选）
hsk30-g2-057,句子的类型,句类,2,标准教程2,10,已核·注释直接命中（别……了祈使句=L10）
hsk30-g2-058,句子的类型,特殊句式,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-059,句子的类型,特殊句式,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-060,句子的类型,特殊句式,2,标准教程2,10,已核·邻近归属（存现结构见 L10 课文：手机在桌子上呢；着=L13）
hsk30-g2-061,句子的类型,特殊句式,2,标准教程2,11,已核·注释直接命中（比字句(1)=L11）
hsk30-g2-062,句子的类型,特殊句式,2,标准教程2,11,已核·注释直接命中（比+形+数量=L11 课文句）
hsk30-g2-063,句子的类型,特殊句式,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-064,句子的类型,特殊句式,2,标准教程2,12,已核·注释直接命中（比字句(2)=L12）
hsk30-g2-065,句子的类型,特殊句式,2,标准教程2,4,已核·注释直接命中（是……的=L4）
hsk30-g2-066,句子的类型,特殊句式,2,标准教程2,8,已核·注释直接命中（兼语句=L8）
hsk30-g2-067,句子的类型,特殊句式,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-068,句子的类型,复句,2,,,已核·教材未覆盖·走通用库兜底（还是/或者=教程3·3，跨册候选）
hsk30-g2-069,句子的类型,复句,2,标准教程2,14,已核·注释直接命中（虽然……但是=L14）
hsk30-g2-070,句子的类型,复句,2,标准教程2,6,已核·注释直接命中（因为……所以=L6）
hsk30-g2-071,句子的类型,复句,2,,,已核·教材未覆盖·走通用库兜底（一……就=教程4下·20，跨册候选）
hsk30-g2-072,动作的态,,2,标准教程2,13,已核·注释直接命中（着=L13）
hsk30-g2-073,动作的态,,2,标准教程2,13,已核·邻近归属（归着的教学点 L13）
hsk30-g2-074,动作的态,,2,标准教程2,14,已核·注释直接命中（过=L14）
hsk30-g2-075,特殊表达法,数的表达法,2,,,已核·教材未覆盖·走通用库兜底
hsk30-g2-076,特殊表达法,数的表达法,2,标准教程2,1,已核·注释直接命中（概数：几=L1）
hsk30-g2-077,特殊表达法,数的表达法,2,标准教程2,1,已核·注释直接命中（概数：多=L1）
hsk30-g2-078,特殊表达法,数的表达法,2,标准教程2,1,已核·邻近归属（归概数教学点 L1）
hsk30-g3-001,语素,前缀,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-002,语素,后缀,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-003,词类,名词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-004,词类,动词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-005,词类,动词,3,,,已核·教材未覆盖·走通用库兜底（离合词重叠=教程4上·7，跨册候选）
hsk30-g3-006,词类,动词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-007,词类,代词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-008,词类,代词,3,标准教程3,8,已核·注释直接命中（疑问代词活用1=L8）
hsk30-g3-009,词类,代词,3,标准教程3,15,已核·注释直接命中（疑问代词活用2=L15）
hsk30-g3-010,词类,代词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-011,词类,代词,3,标准教程3,15,已核·邻近归属（其他见 L15 课文标题；无专注）
hsk30-g3-012,词类,量词,3,,,已核·教材未覆盖·走通用库兜底（词汇级，无注释定位）
hsk30-g3-013,词类,量词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-014,词类,量词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-015,词类,量词,3,,,已核·教材未覆盖·走通用库兜底（名量词重叠=教程4下·12，跨册候选）
hsk30-g3-016,词类,副词,3,标准教程3,9,已核·邻近归属（越=L9；挺=教程4上·3、极了=L15）
hsk30-g3-017,词类,副词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-018,词类,副词,3,标准教程3,6,已核·注释直接命中（刚/刚才=L6；才=L12、一直=L1 词汇）
hsk30-g3-019,词类,副词,3,标准教程3,8,已核·邻近归属（又=L8 又/再辨析；总是=L4 课文）
hsk30-g3-020,词类,副词,3,标准教程3,13,已核·注释直接命中（一边……一边=L13）
hsk30-g3-021,词类,副词,3,,,已核·教材未覆盖·走通用库兜底（大概=教程4下·13、差不多=教程4上·2，跨册候选）
hsk30-g3-022,词类,副词,3,标准教程3,12,已核·注释直接命中（才/就辨析=L12）
hsk30-g3-023,词类,副词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-024,词类,介词,3,标准教程3,18,已核·注释直接命中（关于=L18；为/向未覆盖）
hsk30-g3-025,词类,介词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-026,词类,介词,3,,,已核·教材未覆盖·走通用库兜底（为了……而=教程4下·17，跨册候选）
hsk30-g3-027,词类,介词,3,标准教程3,11,已核·注释直接命中（把=L11；被=L20）
hsk30-g3-028,词类,介词,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-029,词类,连词,3,标准教程3,3,已核·注释直接命中（还是/或者=L3）
hsk30-g3-030,词类,连词,3,标准教程3,16,已核·注释直接命中（如果=L16；只要=L18、只有=L20、然后=L14、可是=教程4上·9）
hsk30-g3-031,词类,助词,3,标准教程3,16,已核·注释直接命中（如果……（的话）=L16）
hsk30-g3-032,短语,结构类型,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-033,短语,结构类型,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-034,短语,结构类型,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-035,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-036,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-037,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底（在……看来=教程4上·10，跨册候选）
hsk30-g3-038,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底（在……看来=教程4上·10，跨册候选）
hsk30-g3-039,短语,固定短语,3,标准教程3,5,已核·注释直接命中（越来越=L5）
hsk30-g3-040,短语,固定短语,3,标准教程3,19,已核·邻近归属（归趋向补语引申义 L19：起来）
hsk30-g3-041,短语,固定短语,3,标准教程3,19,已核·邻近归属（归趋向补语引申义 L19）
hsk30-g3-042,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-043,短语,固定短语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-044,固定格式,,3,标准教程3,15,已核·注释直接命中（除了……以外=L15）
hsk30-g3-045,固定格式,,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-046,固定格式,,3,,,已核·教材未覆盖·走通用库兜底（对……来说=教程4上·5，跨册候选）
hsk30-g3-047,固定格式,,3,标准教程3,1,已核·注释直接命中（一……也/都+不/没=L1）
hsk30-g3-048,固定格式,,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-049,固定格式,,3,标准教程3,9,已核·注释直接命中（越A越B=L9）
hsk30-g3-050,固定格式,,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-051,固定格式,,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-052,固定格式,,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-053,固定格式,,3,,,已核·教材未覆盖·走通用库兜底（(在)……上=教程4上·1、(在)……下=教程4上·6，跨册候选）
hsk30-g3-054,句子成分,主语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-055,句子成分,主语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-056,句子成分,定语,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-057,句子成分,补语,3,标准教程3,1,已核·邻近归属（教材结果补语仅注『好』=L1，其余形式同族归 L1）
hsk30-g3-058,句子成分,补语,3,标准教程3,19,已核·注释直接命中（趋向补语引申义=L19）
hsk30-g3-059,句子成分,补语,3,标准教程3,19,已核·维持预填（趋向引申=L19，预填正确）
hsk30-g3-060,句子成分,补语,3,标准教程3,19,已核·维持预填（趋向引申=L19，预填正确）
hsk30-g3-061,句子成分,补语,3,标准教程3,6,已核·注释直接命中（可能补语=L6）
hsk30-g3-062,句子成分,补语,3,标准教程3,15,已核·邻近归属（归程度表达教学点 L15：极了）
hsk30-g3-063,句子成分,补语,3,标准教程3,15,已核·注释直接命中（极了=L15）
hsk30-g3-064,句子成分,补语,3,标准教程3,7,已核·注释直接命中（时段的表达=L7）
hsk30-g3-065,句子的类型,句类,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-066,句子的类型,句类,3,标准教程3,2,已核·邻近归属（本级反问教学点=L2：能……吗；不是……吗=教程2·13）
hsk30-g3-067,句子的类型,特殊句型,3,标准教程3,12,已核·注释直接命中（把字句2：A把B+V+在/到/给=L12）
hsk30-g3-068,句子的类型,特殊句型,3,标准教程3,12,已核·注释直接命中（把字句2 含 V+给=L12）
hsk30-g3-069,句子的类型,特殊句型,3,标准教程3,14,已核·注释直接命中（把字句3：+结果/趋向补语=L14）
hsk30-g3-070,句子的类型,特殊句型,3,标准教程3,20,已核·注释直接命中（被字句=L20）
hsk30-g3-071,句子的类型,特殊句型,3,标准教程3,20,已核·注释直接命中（被字句=L20）
hsk30-g3-072,句子的类型,特殊句型,3,标准教程3,4,已核·注释直接命中（动作伴随 V1着+V2=L4）
hsk30-g3-073,句子的类型,特殊句型,3,标准教程3,10,已核·注释直接命中（比较句2=L10）
hsk30-g3-074,句子的类型,特殊句型,3,标准教程3,9,已核·注释直接命中（A跟B一样=L9 比较句1）
hsk30-g3-075,句子的类型,特殊句型,3,标准教程3,9,已核·注释直接命中（A跟B一样+形=L9）
hsk30-g3-076,句子的类型,特殊句型,3,标准教程3,10,已核·邻近归属（归比字句教学点 L10）
hsk30-g3-077,句子的类型,特殊句型,3,标准教程3,10,已核·邻近归属（归比字句教学点 L10：比+形+一点儿/得多/多了）
hsk30-g3-078,句子的类型,特殊句型,3,标准教程3,3,已核·邻近归属（教材存现教学点为存在义=L3；出现义无专注）
hsk30-g3-079,句子的类型,特殊句型,3,标准教程3,3,已核·邻近归属（消失义无专注，归存现教学点 L3）
hsk30-g3-080,句子的类型,特殊句型,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-081,句子的类型,特殊句型,3,标准教程3,16,已核·邻近归属（归复杂状态补语 L16）
hsk30-g3-082,句子的类型,复句,3,标准教程3,14,已核·注释直接命中（先……再/又……然后=L14）
hsk30-g3-083,句子的类型,复句,3,标准教程3,3,已核·注释直接命中（或者=L3）
hsk30-g3-084,句子的类型,复句,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-085,句子的类型,复句,3,标准教程3,4,已核·注释直接命中（又……又=L4）
hsk30-g3-086,句子的类型,复句,3,标准教程3,13,已核·注释直接命中（一边……一边=L13）
hsk30-g3-087,句子的类型,复句,3,,,已核·教材未覆盖·走通用库兜底（不仅……也/还/而且=教程4上·1，跨册候选）
hsk30-g3-088,句子的类型,复句,3,,,已核·教材未覆盖·走通用库兜底（虽然……但是=教程2·14，跨册候选）
hsk30-g3-089,句子的类型,复句,3,标准教程3,16,已核·注释直接命中（如果……就=L16）
hsk30-g3-090,句子的类型,复句,3,标准教程3,16,已核·注释直接命中（……的话=L16）
hsk30-g3-091,句子的类型,复句,3,标准教程3,20,已核·注释直接命中（只有……才=L20）
hsk30-g3-092,句子的类型,复句,3,标准教程3,18,已核·注释直接命中（只要……就=L18）
hsk30-g3-093,句子的类型,复句,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-094,句子的类型,复句,3,,,已核·教材未覆盖·走通用库兜底
hsk30-g3-095,特殊表达法,数的表达法,3,标准教程3,10,已核·注释直接命中（概数表达1=L10）
hsk30-g3-096,特殊表达法,数的表达法,3,标准教程3,10,已核·邻近归属（归概数教学点 L10）
hsk30-g4-001,词类,动词,4,标准教程4下,16,已核·注释直接命中（敢=4下·16）
hsk30-g4-002,词类,代词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-003,词类,量词,4,,,已核·教材未覆盖·走通用库兜底（词汇级，无注释定位）
hsk30-g4-004,词类,量词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-005,词类,量词,4,标准教程4下,17,已核·注释直接命中（趟=4下·17；场/顿未覆盖）
hsk30-g4-006,词类,副词,4,标准教程4上,5,已核·注释直接命中（尤其=4上·5；其余未覆盖）
hsk30-g4-007,词类,副词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-008,词类,副词,4,标准教程4上,1,已核·注释直接命中（从来/刚=4上·1；本来=4上·3、仍然=4下·17，其余未覆盖）
hsk30-g4-009,词类,副词,4,标准教程4下,13,已核·注释直接命中（偶尔=4下·13；往往=4上·8，其余未覆盖）
hsk30-g4-010,词类,副词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-011,词类,副词,4,标准教程4上,2,已核·维持预填（却=4上·2，预填正确）
hsk30-g4-012,词类,副词,4,标准教程4下,16,已核·注释直接命中（恐怕=4下·16；也许近义：大概=4下·13）
hsk30-g4-013,词类,副词,4,标准教程4上,2,已核·邻近归属（正好=4上·2；并=4上·4、竟然=4上·6、难道=4上·9、确实=4上·10、千万=4下·15、到底/究竟=4下·16/20）
hsk30-g4-014,词类,介词,4,标准教程4下,13,已核·注释直接命中（由/随着=4下·13；其余未覆盖）
hsk30-g4-015,词类,介词,4,标准教程4下,13,已核·注释直接命中（由=4下·13；叫/让同族：使=4上·8；将未覆盖）
hsk30-g4-016,词类,介词,4,标准教程4上,10,已核·注释直接命中（由于=4上·10，占位值碰巧正确）
hsk30-g4-017,词类,介词,4,标准教程4下,12,已核·注释直接命中（对于=4下·12）
hsk30-g4-018,词类,介词,4,标准教程4上,4,已核·注释直接命中（按照=4上·4）
hsk30-g4-019,词类,连词,4,标准教程4上,2,已核·注释直接命中（而=4上·2；并=4上·4）
hsk30-g4-020,词类,连词,4,标准教程4上,4,已核·注释直接命中（甚至=4上·4；而=4上·2、不过=4上·10、并且=4下·12、既然=4下·14、除此以外=4下·18）
hsk30-g4-021,词类,连词,4,标准教程4上,1,已核·注释直接命中（不仅=4上·1；另外=4上·3、要是=4上·7、因此=4上·8、由于=4上·10）
hsk30-g4-022,词类,助词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-023,词类,叹词,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-024,短语,结构类型,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-025,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-026,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-027,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-028,短语,固定短语,4,标准教程4上,7,已核·注释直接命中（来不及=4上·7）
hsk30-g4-029,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-030,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-031,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-032,短语,固定短语,4,,,已核·教材未覆盖·走通用库兜底
